#time[s]	yaw[degree]	pitch[degree]	roll[degree]
1600.002917	-1.425e+001	-1.062e+001	-6.509e-001
1600.013347	-1.422e+001	-1.063e+001	-6.379e-001
1600.022930	-1.419e+001	-1.064e+001	-6.250e-001
1600.033525	-1.416e+001	-1.065e+001	-6.121e-001
1600.042924	-1.414e+001	-1.066e+001	-6.069e-001
1600.053268	-1.410e+001	-1.067e+001	-6.016e-001
1600.062851	-1.407e+001	-1.068e+001	-5.896e-001
1600.073281	-1.404e+001	-1.068e+001	-5.775e-001
1600.082907	-1.401e+001	-1.069e+001	-5.724e-001
1600.093632	-1.398e+001	-1.069e+001	-5.818e-001
1600.102832	-1.395e+001	-1.070e+001	-5.913e-001
1600.113411	-1.392e+001	-1.070e+001	-6.006e-001
1600.122789	-1.389e+001	-1.070e+001	-6.033e-001
1600.133207	-1.386e+001	-1.070e+001	-6.197e-001
1600.142762	-1.383e+001	-1.071e+001	-6.362e-001
1600.153184	-1.380e+001	-1.070e+001	-6.610e-001
1600.162701	-1.377e+001	-1.070e+001	-6.844e-001
1600.173163	-1.374e+001	-1.070e+001	-6.948e-001
1600.182743	-1.372e+001	-1.070e+001	-7.112e-001
1600.193183	-1.369e+001	-1.069e+001	-7.354e-001
1600.202667	-1.366e+001	-1.069e+001	-7.672e-001
1600.217476	-1.363e+001	-1.068e+001	-7.922e-001
1600.222663	-1.360e+001	-1.067e+001	-8.164e-001
1600.233061	-1.357e+001	-1.067e+001	-8.337e-001
1600.242584	-1.355e+001	-1.066e+001	-8.586e-001
1600.253036	-1.352e+001	-1.065e+001	-8.828e-001
1600.263453	-1.349e+001	-1.064e+001	-9.085e-001
1600.273101	-1.346e+001	-1.063e+001	-9.265e-001
1600.284913	-1.343e+001	-1.061e+001	-9.515e-001
1600.292895	-1.340e+001	-1.061e+001	-9.688e-001
1600.302528	-1.337e+001	-1.059e+001	-9.945e-001
1600.312911	-1.335e+001	-1.058e+001	-1.019e+000
1600.322576	-1.332e+001	-1.056e+001	-1.031e+000
1600.332882	-1.329e+001	-1.055e+001	-1.049e+000
1600.342532	-1.326e+001	-1.053e+001	-1.075e+000
1600.352883	-1.324e+001	-1.051e+001	-1.108e+000
1600.362392	-1.321e+001	-1.049e+001	-1.134e+000
1600.372877	-1.318e+001	-1.047e+001	-1.145e+000
1600.383301	-1.315e+001	-1.045e+001	-1.164e+000
1600.392738	-1.313e+001	-1.043e+001	-1.203e+000
1600.402336	-1.310e+001	-1.041e+001	-1.243e+000
1600.413231	-1.308e+001	-1.039e+001	-1.269e+000
1600.422271	-1.305e+001	-1.036e+001	-1.295e+000
1600.432725	-1.303e+001	-1.034e+001	-1.321e+000
1600.442304	-1.301e+001	-1.032e+001	-1.353e+000
1600.452773	-1.298e+001	-1.030e+001	-1.379e+000
1600.462287	-1.296e+001	-1.027e+001	-1.398e+000
1600.472666	-1.293e+001	-1.026e+001	-1.437e+000
1600.482312	-1.291e+001	-1.023e+001	-1.463e+000
1600.493853	-1.289e+001	-1.021e+001	-1.474e+000
1600.502199	-1.286e+001	-1.019e+001	-1.507e+000
1600.512582	-1.284e+001	-1.017e+001	-1.532e+000
1600.522201	-1.282e+001	-1.016e+001	-1.549e+000
1600.532565	-1.279e+001	-1.014e+001	-1.575e+000
1600.542099	-1.277e+001	-1.013e+001	-1.599e+000
1600.552402	-1.275e+001	-1.011e+001	-1.631e+000
1600.562064	-1.273e+001	-1.010e+001	-1.662e+000
1600.572360	-1.271e+001	-1.009e+001	-1.679e+000
1600.582067	-1.269e+001	-1.007e+001	-1.711e+000
1600.592395	-1.267e+001	-1.005e+001	-1.736e+000
1600.601813	-1.266e+001	-1.004e+001	-1.766e+000
1600.612278	-1.264e+001	-1.003e+001	-1.790e+000
1600.621805	-1.262e+001	-1.002e+001	-1.813e+000
1600.632363	-1.260e+001	-1.002e+001	-1.830e+000
1600.641875	-1.259e+001	-1.001e+001	-1.859e+000
1600.652417	-1.257e+001	-1.000e+001	-1.897e+000
1600.661772	-1.256e+001	-9.996e+000	-1.927e+000
1600.672182	-1.255e+001	-9.997e+000	-1.942e+000
1600.681790	-1.253e+001	-9.998e+000	-1.950e+000
1600.692259	-1.252e+001	-9.999e+000	-1.965e+000
1600.702253	-1.252e+001	-1.000e+001	-1.994e+000
1600.712186	-1.250e+001	-1.001e+001	-2.029e+000
