#time[s]	yaw[degree]	pitch[degree]	roll[degree]
3000.016578	-4.353e+001	1.591e+000	2.701e+000
3000.017170	-4.349e+001	1.587e+000	2.695e+000
3000.023298	-4.345e+001	1.580e+000	2.698e+000
3000.031786	-4.340e+001	1.576e+000	2.692e+000
3000.042401	-4.336e+001	1.568e+000	2.695e+000
3000.051795	-4.331e+001	1.565e+000	2.690e+000
3000.062703	-4.326e+001	1.564e+000	2.690e+000
3000.074800	-4.322e+001	1.563e+000	2.691e+000
3000.083347	-4.317e+001	1.552e+000	2.687e+000
3000.094061	-4.313e+001	1.549e+000	2.681e+000
3000.105375	-4.309e+001	1.545e+000	2.676e+000
3000.111899	-4.304e+001	1.544e+000	2.676e+000
3000.145985	-4.300e+001	1.534e+000	2.673e+000
3000.146884	-4.294e+001	1.533e+000	2.674e+000
3000.147978	-4.290e+001	1.529e+000	2.668e+000
3000.151968	-4.285e+001	1.526e+000	2.662e+000
3000.162282	-4.281e+001	1.525e+000	2.662e+000
3000.173327	-4.276e+001	1.521e+000	2.656e+000
3000.184134	-4.271e+001	1.520e+000	2.657e+000
3000.191885	-4.266e+001	1.512e+000	2.660e+000
3000.202278	-4.262e+001	1.511e+000	2.661e+000
3000.221335	-4.256e+001	1.510e+000	2.662e+000
3000.222245	-4.252e+001	1.502e+000	2.665e+000
3000.231810	-4.248e+001	1.501e+000	2.665e+000
3000.242239	-4.242e+001	1.500e+000	2.666e+000
3000.251888	-4.238e+001	1.493e+000	2.669e+000
3000.262225	-4.233e+001	1.491e+000	2.670e+000
3000.271691	-4.228e+001	1.493e+000	2.677e+000
3000.282198	-4.223e+001	1.485e+000	2.680e+000
3000.293833	-4.219e+001	1.484e+000	2.681e+000
3000.302206	-4.213e+001	1.483e+000	2.681e+000
3000.311727	-4.209e+001	1.482e+000	2.682e+000
3000.322088	-4.203e+001	1.480e+000	2.683e+000
3000.331712	-4.199e+001	1.475e+000	2.692e+000
3000.342857	-4.194e+001	1.481e+000	2.690e+000
3000.351811	-4.189e+001	1.480e+000	2.691e+000
3000.362128	-4.184e+001	1.478e+000	2.692e+000
3000.371566	-4.178e+001	1.477e+000	2.692e+000
3000.382200	-4.174e+001	1.476e+000	2.693e+000
3000.394183	-4.169e+001	1.475e+000	2.694e+000
3000.402136	-4.164e+001	1.474e+000	2.694e+000
3000.411575	-4.158e+001	1.475e+000	2.702e+000
3000.422099	-4.154e+001	1.474e+000	2.702e+000
3000.431635	-4.149e+001	1.475e+000	2.709e+000
3000.441994	-4.143e+001	1.474e+000	2.710e+000
3000.452170	-4.138e+001	1.475e+000	2.717e+000
3000.464125	-4.133e+001	1.480e+000	2.715e+000
3000.472348	-4.128e+001	1.491e+000	2.727e+000
3000.482029	-4.123e+001	1.492e+000	2.734e+000
3000.491509	-4.118e+001	1.497e+000	2.732e+000
3000.505758	-4.113e+001	1.498e+000	2.739e+000
3000.511498	-4.107e+001	1.504e+000	2.737e+000
3000.521942	-4.103e+001	1.505e+000	2.745e+000
3000.531544	-4.097e+001	1.506e+000	2.752e+000
3000.541908	-4.092e+001	1.512e+000	2.750e+000
3000.551540	-4.086e+001	1.513e+000	2.758e+000
3000.562793	-4.081e+001	1.511e+000	2.758e+000
3000.571365	-4.076e+001	1.519e+000	2.763e+000
3000.581940	-4.070e+001	1.518e+000	2.764e+000
3000.591498	-4.065e+001	1.516e+000	2.764e+000
3000.603373	-4.060e+001	1.524e+000	2.769e+000
3000.611587	-4.054e+001	1.523e+000	2.770e+000
3000.621889	-4.049e+001	1.528e+000	2.768e+000
3000.631463	-4.044e+001	1.527e+000	2.769e+000
3000.641889	-4.038e+001	1.534e+000	2.774e+000
3000.651358	-4.032e+001	1.533e+000	2.775e+000
3000.661857	-4.027e+001	1.538e+000	2.773e+000
3000.672788	-4.022e+001	1.539e+000	2.780e+000
3000.681849	-4.016e+001	1.545e+000	2.779e+000
3000.691367	-4.011e+001	1.546e+000	2.786e+000
